frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
67,14,motorbike,806,277,17,31
67,2,bigcar,374,430,160,179
68,1,smallcar,496,324,51,59
68,2,smallcar,526,285,39,56
68,3,smallcar,950,273,80,53
68,4,smallcar,105,367,69,52
68,5,smallcar,727,270,76,41
68,1,motorbike,831,310,53,76
68,2,motorbike,998,286,35,63
68,3,motorbike,1034,285,33,61
68,14,motorbike,806,277,17,31
68,2,bigcar,383,427,153,173
69,1,smallcar,497,326,49,56
69,2,smallcar,527,285,37,53
69,3,smallcar,950,273,80,53
69,4,smallcar,105,367,70,53
69,5,smallcar,727,270,76,41
69,1,motorbike,831,310,53,76
69,2,motorbike,998,286,35,63
69,3,motorbike,1034,285,33,61
69,14,motorbike,806,277,17,31
69,2,bigcar,390,424,145,168
70,1,smallcar,497,325,49,56
70,2,smallcar,527,284,37,52
70,3,smallcar,950,273,80,53
70,4,smallcar,105,367,70,52
70,5,smallcar,727,270,77,41
70,1,motorbike,831,310,53,76
70,2,motorbike,998,286,35,63
70,3,motorbike,1034,285,33,61
70,14,motorbike,806,277,17,31
70,2,bigcar,398,420,138,160
71,1,smallcar,497,323,49,57
71,2,smallcar,526,282,38,54
71,3,smallcar,950,273,80,53
71,4,smallcar,105,367,70,53
71,5,smallcar,727,270,77,41
71,1,motorbike,832,310,52,76
71,2,motorbike,998,286,35,63
71,3,motorbike,1034,285,33,61
71,14,motorbike,806,277,17,31
71,2,bigcar,400,416,134,158
72,1,smallcar,497,321,50,59
72,2,smallcar,526,282,38,54
72,3,smallcar,950,273,80,53
72,4,smallcar,104,367,71,53
72,5,smallcar,727,270,77,41
72,1,motorbike,831,310,53,76
72,2,motorbike,998,286,35,63
72,3,motorbike,1034,285,33,61
72,14,motorbike,806,277,17,31
72,2,bigcar,405,413,129,151
73,1,smallcar,498,319,49,59
73,2,smallcar,527,281,37,53
73,3,smallcar,950,273,80,53
73,4,smallcar,104,367,71,53
73,5,smallcar,727,270,77,41
73,1,motorbike,831,310,53,76
73,2,motorbike,998,286,35,63
73,3,motorbike,1034,285,33,61
73,14,motorbike,806,277,17,31
73,2,bigcar,409,410,125,147
74,1,smallcar,499,318,49,59
74,2,smallcar,527,282,37,52
74,3,smallcar,950,273,80,53
74,4,smallcar,104,367,72,54
74,5,smallcar,727,270,76,41
74,15,smallcar,414,405,120,145
74,1,motorbike,831,310,53,76
74,2,motorbike,998,286,35,63
74,3,motorbike,1034,285,33,61
74,14,motorbike,806,277,17,31
74,2,bigcar,416,406,120,143
75,1,smallcar,500,318,47,57
75,2,smallcar,529,282,35,50
75,3,smallcar,950,273,80,53
75,4,smallcar,103,367,74,55
75,5,smallcar,727,270,76,41
75,15,smallcar,419,401,118,143
75,1,motorbike,831,310,53,76
75,2,motorbike,997,286,37,63
75,3,motorbike,1034,285,33,61
75,14,motorbike,806,277,17,31
75,2,bigcar,420,402,118,141
76,1,smallcar,500,317,48,57
76,2,smallcar,529,284,34,48
76,3,smallcar,950,273,80,53
76,4,smallcar,103,367,75,56
76,5,smallcar,727,270,76,41
76,15,smallcar,422,398,118,142
76,1,motorbike,831,310,53,76
76,2,motorbike,997,286,37,64
76,3,motorbike,1034,285,33,62
76,14,motorbike,806,277,17,31
76,2,bigcar,425,397,115,137
77,1,smallcar,501,316,46,56
77,2,smallcar,529,283,35,51
77,3,smallcar,950,273,80,53
